Drop message: type=WRITE, number=1, epoch=0, from=3
Drop message: type=WRITE, number=1, epoch=0, from=2
Drop message: type=WRITE, number=2, epoch=0, from=2
Drop message: type=WRITE, number=2, epoch=0, from=3
Drop message: type=WRITE, number=3, epoch=0, from=2
Drop message: type=WRITE, number=3, epoch=0, from=3
Drop message: type=WRITE, number=5, epoch=0, from=3
Drop message: type=WRITE, number=5, epoch=0, from=2
Drop message: type=WRITE, number=6, epoch=0, from=2
Drop message: type=WRITE, number=6, epoch=0, from=3
Drop message: type=WRITE, number=7, epoch=0, from=3
Drop message: type=WRITE, number=7, epoch=0, from=2
Drop message: type=WRITE, number=8, epoch=0, from=3
Drop message: type=WRITE, number=8, epoch=0, from=2
Drop message: type=WRITE, number=10, epoch=0, from=2
Drop message: type=WRITE, number=10, epoch=0, from=3
Drop message: type=WRITE, number=11, epoch=0, from=3
Drop message: type=WRITE, number=11, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=0, from=3
Drop message: type=WRITE, number=0, epoch=0, from=2
Drop message: type=WRITE, number=1, epoch=0, from=2
Drop message: type=WRITE, number=1, epoch=0, from=3
Drop message: type=WRITE, number=7, epoch=0, from=3
Drop message: type=WRITE, number=7, epoch=0, from=2
Drop message: type=WRITE, number=8, epoch=0, from=3
Drop message: type=WRITE, number=8, epoch=0, from=2
Drop message: type=WRITE, number=9, epoch=0, from=3
Drop message: type=WRITE, number=9, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=0, from=3
Drop message: type=WRITE, number=0, epoch=0, from=2
Drop message: type=WRITE, number=1, epoch=0, from=3
Drop message: type=WRITE, number=1, epoch=0, from=2
Drop message: type=WRITE, number=2, epoch=0, from=2
Drop message: type=WRITE, number=2, epoch=0, from=3
Drop message: type=WRITE, number=3, epoch=0, from=2
Drop message: type=WRITE, number=3, epoch=0, from=3
Drop message: type=WRITE, number=4, epoch=0, from=2
Drop message: type=WRITE, number=4, epoch=0, from=3
Drop message: type=WRITE, number=5, epoch=0, from=2
Drop message: type=WRITE, number=5, epoch=0, from=3
Drop message: type=WRITE, number=6, epoch=0, from=3
Drop message: type=WRITE, number=6, epoch=0, from=2
Drop message: type=WRITE, number=7, epoch=0, from=3
Drop message: type=WRITE, number=7, epoch=0, from=2
Drop message: type=WRITE, number=8, epoch=0, from=2
Drop message: type=WRITE, number=8, epoch=0, from=3
Drop message: type=WRITE, number=9, epoch=0, from=3
Drop message: type=WRITE, number=9, epoch=0, from=2
Drop message: type=WRITE, number=1, epoch=0, from=2
Drop message: type=WRITE, number=1, epoch=0, from=3
Drop message: type=WRITE, number=3, epoch=0, from=3
Drop message: type=WRITE, number=3, epoch=0, from=2
